ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
HideKeyboardOnFocusLost.<init>,1,0,1,non_negative
HideKeyboardOnFocusLost.onFocusChange,2,0,2,non_negative
In file,DbProvider.java,,,
DbProvider.<init>,1,0,1,non_negative
DbProvider.getHelper,1,0,1,non_negative
DbProvider.setHelper,1,0,1,non_negative
DbProvider.releaseHelper,1,0,1,non_negative
In file,PersistManager.java,,,
PersistManager.<init>,1,0,1,non_negative
PersistManager.PersistManager,1,0,1,non_negative
PersistManager.onCreate,3,0,3,non_negative
PersistManager.onUpgrade,1,0,1,non_negative
PersistManager.getManChaptersDao,2,0,2,non_negative
PersistManager.getManPagesDao,2,0,2,non_negative
PersistManager.getManChapterIndexesDao,2,0,2,non_negative
PersistManager.clearAllTables,3,0,3,non_negative
PersistManager.close,1,0,1,non_negative
In file,Base64.java,,,
Base64.<init>,1,0,1,non_negative
Base64.Base64,1,0,1,non_negative
Base64.encode3to4,1,0,1,non_negative
Base64.encode,9,0,9,non_negative
Base64.encodeWebSafe,1,0,1,non_negative
Base64.decode4to3,4,0,4,non_negative
Base64.decode,15,0,15,non_negative
Base64.decodeWebSafe,3,0,3,non_negative
In file,Purchase.java,,,
Purchase.<init>,1,0,1,non_negative
Purchase.Purchase,1,0,1,non_negative
Purchase.getItemType,1,0,1,non_negative
Purchase.getOrderId,1,0,1,non_negative
Purchase.getPackageName,1,0,1,non_negative
Purchase.getSku,1,0,1,non_negative
Purchase.getPurchaseTime,1,0,1,non_negative
Purchase.getPurchaseState,1,0,1,non_negative
Purchase.getDeveloperPayload,1,0,1,non_negative
Purchase.getToken,1,0,1,non_negative
Purchase.getOriginalJson,1,0,1,non_negative
Purchase.getSignature,1,0,1,non_negative
Purchase.toString,1,0,1,non_negative
In file,Inventory.java,,,
Inventory.<init>,1,0,1,non_negative
Inventory.Inventory,1,0,1,non_negative
Inventory.getSkuDetails,1,0,1,non_negative
Inventory.getPurchase,1,0,1,non_negative
Inventory.hasPurchase,1,0,1,non_negative
Inventory.hasDetails,1,0,1,non_negative
